title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url,label
maintenance and grounds keeping position,,compensation:,contract,3280 Fallbrook Park near Lakeshore Drive,2025-04-22T12:59:23-0400,"canandaigua country club canandaigua country club has a full-time seasonal position available for a maintenance/golf course worker. the position will involve time split between building maintenance, light cleaning, and golf course maintenance. this position is available immediately.  interested candidate may apply in person at canandaigua country club or by email.",,7844322987,,https://rochester.craigslist.org/lab/d/canandaigua-maintenance-and-grounds/7844322987.html,1
local box truck delivery driver,Non CDL,compensation:,contract,20-22 Public Market,2025-04-22T13:33:33-0400,"job description flower city is a family owned company that has been delivering to local restaurants for over 40 years. you will be responsible for driving a 24 foot box truck (no cdl required) delivering food products to local restaurants. local route. this is a working position, you will be loading and unloading product using pallet jacks and two wheelers.  this is a full time position will consider part time candidates as well. to apply please include respond with a resume and a phone number along with ideal times for interviews (we prefer to interview monday through friday 10am-2pm) applicant must have experience driving box trucks or similar vehicles and a clean license (no cdl required) pass a brief driving test including backing up to a loading dock pass a drug test be able to lift 50 lbs paid training wage discussed upon hire based on experience. benefits: 401(k) matching dental insurance health insurance paid time off paid training shift: 8 hour shift day shift work days: weekends as needed application question(s): box truck: 2 years (required) work location: in person",,7844334804,,https://rochester.craigslist.org/trp/d/rochester-local-box-truck-delivery/7844334804.html,1
construction inspectors - all levels,,compensation:,contract,,2025-04-22T13:49:31-0400,"our firm is working on several projects in eastern and western new york state. the following positions are open for qualified candidates to join our team: • chief construction inspector - qualified candidate should have a nicet iv certificate or a ms degree in civil engineering plus four years of construction inspection experience. • construction inspector, level iii - qualified candidate should have a nicet iii certificate or bs degree in civil engineering plus five years of construction inspection experience. • construction inspector, level ii - qualified candidate should have a nicet ii certificate or associates degree in civil engineering with construction inspection experience. salary: negotiable all candidates must have a valid driver’s license and must have a work permit, citizenship, or green card to work in the united states. please submit resumes which meet the above minimum qualifications for consideration.",,7844340272,,https://rochester.craigslist.org/egr/d/rochester-construction-inspectors-all/7844340272.html,1
auto detailer/driver/lot maintenance,,compensation:,contract,771 Ridge Rd,2025-04-22T13:55:47-0400,"we are looking to hire an experienced detailer/driver/ lot maintenance person for our webster location.  pay based on experience, full time hours with paid time and 1/2 for overtime, we offer medical & dental benefits    call allan @ 315-576-2447     to schedule an interview. * must have valid drivers license * reliable transportation * self motivation * able to work outside in all weather conditions",senior,7844342488, | 315-576-2447,https://rochester.craigslist.org/lab/d/webster-auto-detailer-driver-lot/7844342488.html,1
security & fire alarm systems technician,,compensation:,contract,1799 N. Clinton Ave,2025-04-22T14:30:48-0400,"company overview: technical systems group inc. specializes in providing state-of-the-art commercial security systems and solutions. with a dedicated team, we pride ourselves on delivering cutting-edge security technology and exceptional customer service. position overview: we are seeking a highly skilled and dedicated security & fire alarm systems technician to maintain, repair, and replace security systems and related equipment at both prevailing wage job sites and customer locations. the technician will be responsible for ensuring customer satisfaction through effective collaboration, technical expertise, and adherence to relevant codes and standards. key responsibilities: •	maintain, repair, or replace security systems, alarm devices, or related equipment following blueprints of electrical layouts and building plans, either remotely or on-site. •	troubleshoot, diagnose, and resolve system problems and failures. •	mount and fasten control panels, card readers, door and window contacts, sensors, or video cameras, and connect electrical, telephone, and network wiring to components. •	collaborate with staff to execute customer proposals through installation and ongoing maintenance, ensuring continuous customer satisfaction. •	work with manufacturer's technical support personnel. •	test and repair circuits and sensors, following wiring and system specifications. •	test backup batteries, keypad programming, sirens, and other security features to ensure proper functioning, diagnose malfunctions, and ensure communication with the monitoring station. •	inspect installation sites and study work orders, building plans, and installation manuals to determine material requirements and installation procedures. •	ensure that work complies with relevant codes and standard practices. •	follow established operational procedures to ensure timely resolution or escalation of issues. •	complete work order paperwork, expense reports, and other necessary paperwork in a timely manner. •	communicate job status details, problems, potential issues, and other necessary information with the manager/supervisor. •	act as a liaison for internal and external communications with departments as required. •	interact with customers at a technical level when necessary. physical demands: •	lift, carry, push, and/or pull up to 100 lbs. •	perform repetitive motions, climb, balance, stoop, kneel, crouch, and/or crawl. •	require specific vision abilities for close vision, distance vision, color vision, peripheral vision, depth perception, and focus adjustment. •	safely drive a vehicle in vibration environments. required education and experience: •	certifications in bosch, lenels2, or other system software are preferred. •	osha 10 certification. •	valid new york state driver’s license with a good driving record. •	minimum of 3 years’ experience in the security services industry. •	proven results in mentoring others within this field.",,7844354248,,https://rochester.craigslist.org/sec/d/rochester-security-fire-alarm-systems/7844354248.html,1
drivers and dispatchers,,compensation:,contract,1354 Buffalo Road near Howard Road,2025-04-22T14:56:53-0400,"irie transportation associated llc, a 24-hour, non-emergency medical transportation company in rochester, ny, immediately needs drivers, including grave-yard-shift drivers and dispatchers. we offer full-time and flexible part-time hours, competitive wages, paid sick time compliant with nys labor laws, and one week of paid vacation for full-time employees after one year. we also offer supplemental benefits for qualified employees. if interested, please call irie transportation associated llc at (585)797-5333. if you send an email, please include your name and contact information; someone will get back to you as soon as possible. we look forward to a long, committed, and productive partnership. thank you!",,7844362688, | (585)797-5333,https://rochester.craigslist.org/trp/d/rochester-drivers-and-dispatchers/7844362688.html,1
truck & heavy equipment diesel mechanic,,compensation:,contract,,2025-04-22T15:42:47-0400,"m. l. caccamise electric corp. is a commercial / industrial electrical contracting company, serving the heavy highway electrical industry, including highway lighting and traffic signal construction needs since 1978, headquartered in rochester, new york. we are looking for a self-starting and hard-working individual to fill the following position: truck & heavy equipment diesel mechanic •	responsible for maintenance work on diesel trucks and equipment. •	troubleshoot and repair mechanical and electrical components with computer code assessment. •	occasional field repairs for equipment and / or trucks on various job sites. •	steel fabrication and welding. •	review, investigate and order required repair parts. •	maintain a clean, organized shop/yard. skills/qualifications: •	diesel repair and troubleshooting schooling and/or related experience. •	sandblasting and equipment painting, a plus. •	high school or ged diploma. •	ability to lift and carry up to 80 pounds. •	have a clean nys driver’s license, cdl a or b a plus. •	nys inspector's license, a plus •	possess good organization and communication skills. •	ability to perform all work functions required within the shop area or field, including but not limited to climbing, bending, lifting and twisting; being around loud noises and fumes; ability to sit or stand for extended periods of time. •	ability to work efficiently without constant supervision. •	adhere to and perform tasks according to company and osha safety guidelines. benefits: •	pay rate $30.00 - $35.00 per hour. •	excellent corporate benefit plan, including 100% company-paid medical and dental insurance. •	paid vacation and holidays. •	group 401k plan and life insurance. •	small business with a family-oriented work culture. m. l. caccamise electric corp. is an equal opportunity employer.",,7844378680,,https://rochester.craigslist.org/lab/d/rochester-truck-heavy-equipment-diesel/7844378680.html,1
water filtration installers daily work,,compensation:,contract,,2025-04-22T15:43:28-0400,"subcontractors wanted! install home water filtration systems, a fast-growing business. earn big. plumbing experience helpful. must have reliable transportation and liability insurance. reach out to neven (585)749-0521 for an in-person interview! join our install team today.",,7844378875, | (585)749-0521,https://rochester.craigslist.org/trd/d/rochester-water-filtration-installers/7844378875.html,1
"urgently hiring property preservation vendors in churchville, ny!",,compensation:,contract,,2025-04-22T16:47:05-0400,"📢 join phazer construction llc – a trusted partner in property preservation, now hiring in churchville, ny! are you tired of inconsistent work and unreliable payments? at phazer construction llc, we understand the importance of trust, respect, and clear communication. we’re currently expanding our vendor network right here in churchville, and we’re looking for skilled, sensible contractors who are ready to get to work. about us: with over 10 years of experience, phazer construction llc is recognized for delivering top-quality property preservation services. we know that in this industry, getting paid on time is just as important as the work itself. that’s why we prioritize honest, transparent communication with our vendors, and we stick to our word when it comes to payments. work with us and get paid right: ✅ bi-weekly payments – we pay on a reliable bi-weekly schedule. once your work order is completed and approved by our qc team, you can count on receiving your payment within 14 days. ✅ consistent jobs – we have a constant flow of work orders and need dedicated vendors in churchville and surrounding areas to handle roofing, repairs, rehab, securing, grass cuts, winterization, and more. ✅ no delays, no excuses – we value your time, and we won’t make you chase after payments. do your part, and we’ll do ours. current work opportunities: 🔨 property repairs (roofing, deck repair, etc.) 🔐 securing properties (lock changes, boarding) 🌿 recurring grass cuts & snow removal ❄️ winterization 🧹 trash outs & janitorial services ⚒️ licensed contractors for specialized work (plumbing, electrical, mold remediation, etc.) what you’ll need: aspen grove abc number (required) general liability insurance ($1m coverage minimum) a strong, reliable crew with the tools to get the job done right why phazer construction? 🔎 trustworthy & transparent – we’re upfront about everything, including payments. no runarounds, no hidden terms. 🤝 partnership based on respect – we treat our vendors with respect, knowing that our success depends on your hard work. 🚀 immediate assignments – work orders are ready to go in churchville, so you can hit the ground running. focus area: we are actively hiring in churchville and the surrounding regions. if you're in the area and ready to work, we want to hear from you! ready to join? 📤 send us your full name, email, phone number, and coverage area today! 📞 call us at: 614-977-0590 📧 email: recruiting@phazerc.com at phazer construction llc, we’re ready to build something great together. let’s get to work, churchville! 🛠️",,7844398241,recruiting@phazerc.com | 614-977-0590,https://rochester.craigslist.org/lab/d/brockport-urgently-hiring-property/7844398241.html,1
property maintenance position,,compensation:,contract,Oxford near Park Ave.,2025-04-22T17:38:52-0400,"property maintenance position available immediately.  lawn-care and gardening, exterior and interior painting, cleaning and maintenance. small, family-owned property management company is looking for a full-time, reliable employee.  must have a clean driver's license.  basic skills are a must-have. willing to work with others.  call ryan daily before 6pm.  text and email is fine too!",,7844413271,,https://rochester.craigslist.org/lab/d/rochester-property-maintenance-position/7844413271.html,1
automotive assistant & service managers,,compensation:,contract,,2025-04-22T17:45:24-0400,,,7844415149,,https://rochester.craigslist.org/sls/d/penfield-automotive-assistant-service/7844415149.html,0
automotive assistant & service managers,,compensation:,contract,,2025-04-22T17:48:14-0400,,,7844415960,,https://rochester.craigslist.org/sls/d/rochester-automotive-assistant-service/7844415960.html,0
automotive assistant & service managers,,compensation:,contract,,2025-04-22T17:50:52-0400,,,7844416751,,https://rochester.craigslist.org/sls/d/palmyra-automotive-assistant-service/7844416751.html,0
automotive tire technicians,$800 New Hire Bonus,compensation:,contract,,2025-04-22T17:56:41-0400,,,7844418402,,https://rochester.craigslist.org/lab/d/rochester-automotive-tire-technicians/7844418402.html,0
automotive assistant & service managers,,compensation:,contract,,2025-04-22T17:59:25-0400,,,7844419263,,https://rochester.craigslist.org/sls/d/rochester-automotive-assistant-service/7844419263.html,0
interior trim carpenter,,compensation:,contract,,2025-04-22T18:04:08-0400,looking for a person to help doing interior trim work and cabinet installs. willing to train. i work on the job everyday so looking for anyone to be a helper or fully experienced. pay would vary on knowledge but having transportation is a must work in all different areas. new build construction we are not remodeling,senior,7844420821,,https://rochester.craigslist.org/trd/d/henrietta-interior-trim-carpenter/7844420821.html,1
summer cleaner,,compensation:,contract,,2025-04-22T20:19:54-0400,"c&d property maintenance is a small cleaning business providing services in the areas surrounding rochester for residential, new construction, commercial buildings, and summer dorm cleaning. we are looking to expand our cleaning crew for the summer with someone who is eager to learn; this position starts immediately and goes to the end of august. this job is starting at an hourly pay of $16.00. please read below for a full work description before applying. what this job looks like… -this is a part time position (on average, 30 hours a week). -though it is part time, we work every day m-f. -our work day starts on average 8am, and ends roughly around 3:00pm. this is the average time frame for the day, but it does vary from day to day. -we carpool from job to job, and you will leave your car at a designated meeting place. we ask that you have reliable transportation to show up to the meeting place on time; whether it be your own transportation, a ride into work, or public transportation. within this job expect to… -vacuum, dust, mop, clean kitchens and bathrooms, etc. -be willing and able to be flexible on the type of cleaning settings we put you in. (residential, college dorm cleaning, commercial buildings, etc.) in our employees we look for… -hard workers -workers ready to learn and try new things -workers that are reliable -workers that come in energetic and ready to go if you think you would be a great fit for this job, please contact chris through craigslist. be sure to leave your full name and phone number in the email so we can reach you.",,7844451445,,https://rochester.craigslist.org/lab/d/rochester-summer-cleaner/7844451445.html,1
occupancy inspector,,compensation:,contract,,2025-04-27T10:16:04-0400,"we perform occupancy checks, inspections on foreclosed homes, and deliver notices to homeowners on behalf of mortgage companies and banks. this is a contracted 1099 job. you will be responsible for your own taxes and expenses. you will receive inspections throughout the week. all inspections have a due date for which it needs to be completed by. typically, you will receive the inspections 5 days before they are due. sometimes you will have less than 5 days to get them completed. basically, you will be ""on call"" based on the due dates of the inspections. the average inspection takes 3-5 minutes. we pay per inspection. that means the more you work the more you'll make we require a 95% on time completion rate. this position works great for someone who wants a flexible schedule. you will be your own boss and work from your car, so being self-motivated is key!",,7845641609,,https://rochester.craigslist.org/rej/d/rochester-occupancy-inspector/7845641609.html,1
concrete masons/finishers positions,,compensation:,contract,,2025-04-24T10:04:02-0400,"specific masonry positions available: carpenters, masons, finishers, laborers, form fitters lg evans construction, inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction market. applicants with a versatile resume are encouraged to apply. reliability, a strong work ethic, and professionalism are a must. work will be primarily in the rochester and surrounding counties area with some minor travel required. the pay range is approximately $20-$30/hr based on position and experience and is negotiable. we also offer medical benefits, pto, and a 401k plan with company match, along with an excellent working environment!! apply today! there are a variety of ways: website: www.lgevansinc.com - submit an application right from the career tab in person: our main headquarters is located at 1823 lakeville road, avon, ny, 14414 have questions? call (585) 226-2240",,7844831474, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-concrete-masons-finishers-positions/7844831474.html,1
electrical estimator project manager,,compensation:,contract,,2025-04-24T10:04:04-0400,"we are looking for an electrical estimator -with at least 5 years electrical experience in the electrical field. we will train the right person. must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. this is a full time position with great pay and benefits. this is the perfect position for an electrician that doesn't want to work in the field",,7844831488,,https://rochester.craigslist.org/trd/d/rochester-electrical-estimator-project/7844831488.html,1
electrical estimator assistant,,compensation:,contract,,2025-04-24T10:04:51-0400,"we are looking for an electrical estimator -with at least 5 years electrical experience in the electrical field. we will train the right person. must be able to read blue prints, have computer skills , be able to walk properties, deal with customers, create proposals for new and existing electrical and lighting systems and have great people skills. this is a full time position with great pay and benefits. this is the perfect position for an electrician that doesn't want to work in the field",,7844831765,,https://rochester.craigslist.org/lab/d/rochester-electrical-estimator-assistant/7844831765.html,1
construction laborer,,compensation:,contract,,2025-04-24T10:05:13-0400,we are looking for a construction laborer that has experience with site work. this person needs to be a self starter that can multi task and has construction experience. ***drivers license is a must **** we offer top pay and benefits !,,7844831886,,https://rochester.craigslist.org/lab/d/rochester-construction-laborer/7844831886.html,0
hiring dishwashers,,compensation:,contract,,2025-04-24T10:39:00-0400,"hiring full time and part time dishwashers, fulltime tues-sat 2:30-close, part time fri and sat 2:30-close. duties include washing dishes, cleaning, light prep, and assisting line cooks. applicants please respond with full name, availability, experience and or resume, and a little bit about yourself and why you would be a good fit. please do not show up in person or call the restaurant or you will not be considered for the position.",,7844841441,,https://rochester.craigslist.org/fbh/d/rochester-hiring-dishwashers/7844841441.html,1
best starting opportunity,start today,compensation:,contract,,2025-04-24T11:35:31-0400,"general labor (start tomorrow) text me 585-500-5662 construction and installation of our great products   (must have transportation) previous construction experience a plus looking for a hard working person , who wants to learn a trade with the opportunity to advance, previous experience in work is ideal and or general construction. can read a tape measure and use hand tools. about us: long time established company, regular hours generally 8:00-4:30. pay based on experience, checks issued weekly call and tell us what experience you have. (please leave best contact number and time to call, so we don't have to play phone tag) tell me why i should hire you??? thank you! looking for team player, who wants great work with good people, ground floor opportunity, year-round work. previous installation experience helpful. must be hard working, organized, and detail oriented. must have own transportation. please.  text me your information and best time to call you and start right away (training available for the right person(s) text me today  585-500-5662 with your name and best time to call ! text mt start right away!",,7844859817, | 585-500-5662,https://rochester.craigslist.org/lab/d/rochester-best-starting-opportunity/7844859817.html,1
fiorella is hiring a host,,compensation:,contract,,2025-04-24T11:49:53-0400,"we are looking for a friendly, upbeat host to work wednesday through saturday evening shifts. must be available to work all four days. the ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. they should be willing to fill in a variety of tasks as needed keep up with busy shifts. if you love the restaurant business and genuinely enjoy people, we need to hear from you. please respond to this post with your resume and availability for an interview",,7844864667,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-is-hiring-host/7844864667.html,1
experienced cook -three nights per week!,,compensation:,contract,,2025-04-24T11:59:52-0400,"cook with short order experience for family style restaurant. looking to hire for three nights only- thursday, friday and saturday nights. great people to work with. closing is at 9:00pm. please call elizabeth 585-354-4941.",,7844868011, | 585-354-4941,https://rochester.craigslist.org/fbh/d/rochester-experienced-cook-three-nights/7844868011.html,1
seamless gutter installer,,compensation:,contract,,2025-04-24T13:15:29-0400,gutter installer. driver's license required good work ethic top pay shining bonus after one month call david thibodeau gutter company 585-317-3116 must be good with ladder work and hand tools will train,,7844898361, | 585-317-3116,https://rochester.craigslist.org/lab/d/rochester-seamless-gutter-installer/7844898361.html,1
site work construction positions,,compensation:,contract,1823 Lakeville Rd. near Route 5&20,2025-04-24T13:48:50-0400,"specific sitework positions available: heavy equipment operators, pipe layers, and general laborers. lg evans construction, inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction market. applicants with a versatile resume are encouraged to apply. reliability, a strong work ethic and professionalism is a must. work will be primarily in the rochester and surrounding counties area with some minor travel required. pay range approximately $20-$35/hr based on position and experience and is negotiable. we also offer medical benefits, pto, and a 401k plan with company match, along with an excellent working environment!! apply today! there are a variety of ways: website: www.lgevansinc.com - submit an application right from the career tab in person: our main headquarters is located at 1823 lakeville road, avon, ny, 14414 have questions? call (585) 226-2240",,7844910736, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-site-work-construction-positions/7844910736.html,1
residential fence installer,,compensation:,contract,,2025-04-24T14:52:20-0400,in need of fence installers for residential homes. hiring more than one person.  experience preferred but willing to train.  must have own transportation. please call mike at 585-284-6010,,7844933894, | 585-284-6010,https://rochester.craigslist.org/lab/d/rochester-residential-fence-installer/7844933894.html,0
deli workers needed,,compensation:,contract,2590 West Ridge Road near Long Pond Road,2025-04-24T14:57:55-0400,"looking for a job with energy, good food and great people?  we’re hiring for multiple positions and want friendly, dependable people to join us. front of house: you’ll be the face of the deli - greeting customers, answering phones, prepping food and slicing meats. back of house: work behind the scenes prepping ingredients, preparing hot subs and using the deep fryer to cook up customer favorites. what to expect: -must be available nights and weekends -no late night shifts-we close at 7:00 pm -must be at least 18 years old apply in person and ask for pino or petrena",,7844935778,,https://rochester.craigslist.org/fbh/d/rochester-deli-workers-needed/7844935778.html,1
summer maintenance/yard/painting work,,compensation:,contract,,2025-04-24T15:13:01-0400,"summer work offered at $22.50/hour for someone interested in relatively light maintenance, yard, and painting work. there could be some cleaning work too. tools and directions are provided as needed and work schedule is very flexible. the work is at several attractive private properties in the 19th ward and southwedge. much of it will be outdoors and fun work related to summer projects (ex. powerwashing, painting, hedging, weeding, etc).",,7844941331,,https://rochester.craigslist.org/lab/d/rochester-summer-maintenance-yard/7844941331.html,1
"🔨 framers & carpenters wanted – experience welcome, will train!",,compensation:,contract,,2025-04-24T15:13:26-0400,"msframingcorp is hiring! we're looking for experienced framers and carpenters – or hardworking individuals who want to learn the trade. if you have a strong work ethic, we have a spot for you. what we offer: competitive pay based on experience paid training for those willing to learn steady work on residential and multi-family projects opportunity to grow with a skilled and reliable crew what we’re looking for: experience with framing or construction is a plus willingness to learn and work hard is a must must be dependable and ready to work outdoors 📍 work is located in rochester and surrounding areas. to apply: call or text matt at 585-406-5138",senior,7844941482, | 585-406-5138,https://rochester.craigslist.org/trd/d/pittsford-framers-carpenters-wanted/7844941482.html,1
60+ cpm company driver –3500+ miles – '26 trucks  –pay raises evry 60k mi,,compensation:,contract,,2025-04-24T16:46:47-0400,,,7844971813,,https://rochester.craigslist.org/trp/d/rochester-60-cpm-company-driver-3500/7844971813.html,0
daytime line cook,PT & FT,compensation:,contract,176  S Goodman St near Park Ave,2025-04-09T21:39:36-0400,"want to be out of work by 3:30pm? join our team @mad hatter! we are open tuesday-sunday 8am-2:30pm. seeking seasoned line cooks. must have a minimum of 3 years experience working in a commercial kitchen. fast paced environment. competitive pay based on skillset and experience.    internship options available. seasonal, par time or full time available. apply in person or online at www.madhatterrochester.com",,7841237488,,https://rochester.craigslist.org/fbh/d/rochester-daytime-line-cook-pt-ft/7841237488.html,1
esthetician /nail technician,,compensation:,contract,28 Willow Pond Way,2025-04-09T23:09:32-0400,"we’re hiring at loving you nails & spa! position: licensed esthetician/nail technician status: full-time or part-time position available start time: immediate opening loving you nails & spa, a holistic day spa located in penfield, ny, is looking for a talented and passionate esthetician or nail technician with one year of experience to join our team! we specialize in organic and advanced skincare, and holistic non-toxic pedicures and manicures what we offer: •	a serene, supportive spa environment •	established client base •	competitive commission-based pay/rental or hourly •	opportunities for growth and continued education •	products and supplies provided •	beautiful, newly renovated space with luxury touches ideal candidate: •	licensed in new york state •	professional, reliable, and passionate about holistic beauty •	experienced in natural nail care (dazzle dry experience is a plus!) •	committed to excellent client care and sanitation practices •	team player with a positive attitude if you’re ready to be part of a growing spa that values wellness, relaxation, and self-care, we’d love to hear from you! to apply: please email your resume and availability to www.lovingyounailspa.com contact mary or call/text 585-280-3533. location: loving you nails & spa 28 willow pond way, suite 100 penfield, ny 14526 join us in creating a relaxing, beautiful experience for every client—one appointment at a time.",senior,7841248978, | 585-280-3533,https://rochester.craigslist.org/spa/d/penfield-esthetician-nail-technician/7841248978.html,1
line cook,,compensation:,contract,407 commerce dr near Victor Pittsford rd,2025-04-10T07:26:19-0400,looking for an experienced line cook that can work in a very fast paced diner. no nights weekends are a must. pay will be based on experience. please come in person between the hours of 7-11am to apply. no phone calls please the original steve’s diner victor 407 commerce dr. victor 14564,senior,7841281078,,https://rochester.craigslist.org/fbh/d/victor-line-cook/7841281078.html,1
hvac installer,,compensation:,contract,,2025-04-10T09:03:45-0400,"hvac installer. experienced or will train. learn a great trade. need own transportation to job. will provide tools if needed. installing heat pumps, ductwork, furnaces, insulation. instalador de hvac. con experiencia o entrenara. aprende un gran oficio. necesito mi propio transporte al trabajo. proporcionara herramientas si es necesario. instalacion de bombas de calor, conductos, hornos, aislamiento.",senior,7841295092,,https://rochester.craigslist.org/trd/d/spencerport-hvac-installer/7841295092.html,1
automotive tire technicians,$800 New Hire Bonus,compensation:,contract,,2025-04-10T09:47:19-0400,,,7841304556,,https://rochester.craigslist.org/lab/d/mount-morris-automotive-tire/7841304556.html,0
line cook/saute cook,,compensation:,contract,4699 Lake Avenue,2025-04-10T10:13:39-0400,"company description: mr. dominic's is an italian restaurant located in rochester, ny in charlotte on lake aveune. family owner and operated since 1976. role description: this is a full-time or part-time,  on-site role for a line cook at mr. dominics at the lake located in rochester, ny. the line cook will be responsible for preparing ingredients, cooking menu items, and ensuring the quality.",,7841311601,,https://rochester.craigslist.org/fbh/d/rochester-line-cook-saute-cook/7841311601.html,1
part time & full time solo class a cdl night positions,,compensation:,contract,,2025-04-10T10:15:13-0400,,,7841312048,,https://rochester.craigslist.org/trp/d/west-henrietta-part-time-full-time-solo/7841312048.html,0
fiorella hiring evening host,,compensation:,contract,,2025-04-10T10:45:50-0400,"we are looking for a friendly, upbeat host to work wednesday through saturday evening shifts. must be available to work all four days. the ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. they should be willing to fill in a variety of tasks as needed keep up with busy shifts. if you love the restaurant business and genuinely enjoy people, we need to hear from you. please respond to this ad with your resume and interview availability",,7841319942,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-hiring-evening-host/7841319942.html,1
screen printer/folders/reclaim positions,,compensation:,contract,1916 LYELL AVE near Lee Rd,2025-04-10T13:23:36-0400,"tm design corp on lyell avenue in gates is looking to fill positions in our screen printing department. printing, folding and screen reclaim are available. *union job with benefits* -apply in person to the address below, and/or email a resume, do not call. -full time position -ot available some of the time. -hours: 8am - 4pm; or 8:30am - 4:30pm -after 60 days, aca approved health care with a 50% copay on premium. -union position (after 6-month probationary period) pppwu local 503. -after 6-months benefits include 6 paid holidays, union pension (501c) and a 401k w/match. -after 1-year, benefits include 2-weeks pto (1 wk vaca/1 wk sick) (unused pto is paid out each year) -must be reliable, able to work 40 hours, must demonstrate good attendance. -must be a highly motivated person! -must be able to work on feet and in heat, and lift boxes weighing up to 35lbs. -must work well with others, and stay focused. -other positions maybe available now or soon. if you are self-motivated and looking to work for a small company, and grow with a company which has 33 years in the t-shirt printing industry and 28 years as a union ship, come fill out an application. tm design of rochester, corp 1916 lyell ave rochester, ny 14606 hours 9am - 5pm right by the canal in gates, across from gerber collision, near the , just off 390 @ lyell. get off 390 at lyell, head towards the city, on north side of road by canal just before you cross into the city.",,7841373590,,https://rochester.craigslist.org/mnu/d/rochester-screen-printer-folders/7841373590.html,1
short order cooks/fryers,,compensation:,contract,3670 lake rd near 104 and 19,2025-04-10T13:33:30-0400,full-time/part time,,7841377088,,https://rochester.craigslist.org/fbh/d/clarkson-short-order-cooks-fryers/7841377088.html,0
door installer,,compensation:,contract,,2025-04-10T13:55:38-0400,"door installer’s needed (exterior, patio, interior, barn, storm, and security doors) rfi facilitates over 400,000 installations annually across the country. with a network of over 1,500 independent contractors, we provide installation services for over 20 different home improvement products including doors, windows, siding, kitchen, bath, closets, and more. looking to expand your existing business or get a foot in the door as a start-up? ✓ rfi offers unlimited opportunities and growth potential. looking to supplement your current revenue? ✓ rfi provides you with additional revenue while you continue running your existing business ✓ rfi offers supplemental income for experienced contractors looking to perform storm/security door measures and installations as well!  this is a great way to supplement your income while working alone! tired of chasing your money? ✓ rfi offers consistent pay. we direct deposit every two weeks upon completion of work. tired of investing in marketing and advertising? ✓ with rfi there is no marketing necessary. we are partnered with national retailers who invest millions in marketing and advertising. leads are provided to you free of charge. are you wasting time performing free in-home estimates that do not convert to actual work? ✓ no cold calls, no canvasing, no sales! our customers come to our retailers because they are ready to buy. you get the measurements; they close the sale. we pay for measurements! requirements •	must be able to pass a detailed background investigation. •	minimum of 5 years' experience installing doors and/or trim carpentry is preferred. •	vehicle, trailer, or some way to transport products to job sites. •	must provide own tools- ie: trim carpentry/door installation tools. •	access to a smart phone and/or tablet, as well as a computer with an internet connection. •	epa or state rrp certified (lead safe work practices). we can assist in obtaining certification if necessary. •	licensed and insured (according to local/state requirements)",senior,7841384973,,https://rochester.craigslist.org/trd/d/batavia-door-installer/7841384973.html,1
auto body and paint.,,compensation:,contract,,2025-04-10T14:03:00-0400,"looking for auto body and paint person, male or female not important. part time or full time. l0cated in victor. busy shop, vacation and pto. please send resume.",,7841387639,,https://rochester.craigslist.org/lab/d/victor-auto-body-and-paint/7841387639.html,0
pintxo wine bar seeks server!,,compensation:,contract,27 Coach St,2025-04-10T14:57:41-0400,"canandaigua's spanish wine bar and restaurant, pintxo, is looking for a p/t server. this position is 3p-close wed-fri. we close at 9p (10p fri/sat). we are a small and tight-knit team, we take pride in the details of our work in a kind and organized environment, and we all support one another in getting the job done. we're 11 months in, and while carrying out our mission of providing elegant and comfortable service, our focus is on getting better every day. some wine knowledge is preferred, and we'll train on our list and spain in general. passionate learners to the front of the line!",,7841404996,,https://rochester.craigslist.org/fbh/d/canandaigua-pintxo-wine-bar-seeks-server/7841404996.html,1
auto tech needed,,compensation:,contract,,2025-04-10T16:00:25-0400,"auto tech needed, 40 hours per week, no weekends, located in victor ny, must have tools and experience in auto repair. please send resume.",,7841424148,,https://rochester.craigslist.org/lab/d/victor-auto-tech-needed/7841424148.html,0
