title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url
ALDI - Part-Time Store Cashier/Stocker,,compensation:,contract,,2025-04-11T15:22:58-0400,"APPLY NOW {GDPR};gdpr_consent=${GDPR_CONSENT_755}? Position Type: Part-Time Average Hours: Fewer than 30 hours per week Starting Wage: $19.50 per hour Wage Increases: Year 2 - $20.00 | Year 3 - $20.50 | Year 4 - $20.50 | Year 5 - $21.50 Duties and Responsibilities: Must be able to perform duties with or without reasonable accommodation. • Collaborates with team members and communicates relevant information to direct leader • Upholds the security and confidentiality of documents and data within area of responsibility • Other duties as assigned Cashier Responsibilities: • Processes customer purchases, performs general cleaning duties, stocks shelves and merchandise displays neatly • Provides exceptional customer service, assisting customers with their shopping experience • Provides feedback to management on all products, inventory losses, scanning errors, and general issues • Participates in taking store inventory counts according to guidelines and monitoring inventory for accuracy • Adheres to cash policies and procedures to minimize losses Stocker Responsibilities: • Stocks shelves and rotates product properly to guarantee fresh product is available for the customer • Follows merchandising planograms to create excellently merchandised displays • Organizes new inventory, removes and breaks down empty boxes • Operates machinery and follows all safety procedures Physical Demands: • Regularly required to sit, stand, bend, reach, push, pull, lift, carry, and walk about the store • Stocker: Ability to stock merchandise from store receiving to shelving; ability to place product, weighing up to 45 pounds, on shelving at various heights Qualifications: • You must be 18 years of age or older • Ability to provide prompt and courteous customer service • Ability to perform general cleaning duties to company standards • Ability to interpret and apply company policies and procedures • Excellent verbal communication skills • Ability to work both independently and within a team environment • Effective time management • Knowledge of products and services of the company • Cashier: Ability to operate a cash register efficiently and accurately • Cashier: Comply with state and local requirements for handling and selling alcoholic beverages • Stocker: Ability to operate equipment safely and properly, including electric/manual hand jack, floor scrubber, and cardboard baler • Stocker: ALDI Stockers must have morning availability to accommodate store operational responsibilities and be available to work morning shifts with start times as early as 5:00 a.m. Education and Experience: • High School Diploma or equivalent preferred • Prior work experience in a retail environment preferred • A combination of education and experience providing equivalent knowledge ALDI offers competitive wages and benefits, including: 401(k) Plan Company 401(k) Matching Contributions Employee Assistance Program (EAP) PerkSpot National Discount Program In addition, eligible employees are offered: Medical, Prescription, Dental & Vision Insurance Generous Vacation Time & 7 Paid Holidays Up to 6 Weeks Paid Parental Leave at 100% of pay Up to 2 Weeks Paid Caregiver Leave at 100% of pay Short and Long-Term Disability Insurance Life, Dependent Life and AD&D Insurance Voluntary Term Life Insurance ALDI is committed to equal opportunity for all employees and applicants. As a proud Equal Opportunity Employer (EOE), we do not discriminate based on race, color, national origin, ancestry, citizenship status, religion, sex, sexual stereotyping, sexual orientation, gender, gender identity, gender expression, age, marital status, mental or physical disability, medical condition, genetic information, military or veteran status, pregnancy (which includes pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), or any other protected characteristic. Employment may be contingent upon ALDI's receipt of an acceptable and job-related drug test, motor vehicle report, and/or reference check, as applicable and permissible by law.",,7841681097,,https://rochester.craigslist.org/ret/d/webster-aldi-part-time-store-cashier/7841681097.html
$1400 - $1525 Starting Salary! -- Home Every Weekend -- 4 Weeks of PTO,,compensation:,contract,60-62 Franklin Avenue,2025-04-11T17:01:01-0400,,,7841710864,,https://rochester.craigslist.org/trp/d/dunkirk-starting-salary-home-every/7841710864.html
Line Cooks,,compensation:,contract,3939 E Henrietta Rd,2025-04-11T17:27:08-0400,"Fireside Grill is looking to add to our kitchen team. Line Cook -part-time position 2-3 Dinner/ Closing shifts- 4pm-Midnight Requirements: * Prior experience required. * Serve-safe food handler or manager certified. * Create and prepare dinner features. * Read and follow recipes, prepare menu items according to our specifications * Set-up line and maintain inventory for the day * Follow opening, closing check lists, including proper cleaning and sanitation equipment. * Knife skills are expected for slicing, chopping, peeling, preparation of product * Sauté &  Grill station proficient. * Clean as you go and maintain properly sanitized workstations, ensure compliance with food safety and handling policies and procedures * Work in a fast paced, busy environment * Be able to lift, move up to 50lbs * Must be able continuously stand on feet for 8 consecutive hours during work shift. * Follow direction and think ahead * Work together as a team to give our guests the best fresh meal * Prep menu items as needed * Stock food items on line at end of shift * Turn off , Clean all equipment Team-work is critical in the success and development of our team. We are open 7 days a week, closed on major holidays * Respond with resume & phone number * Come in and complete an application in person 3939 E. Henrietta Rd Henrietta, NY 14467 * Call 585-486-4611 to set up interview",,7841718128, | 585-486-4611,https://rochester.craigslist.org/fbh/d/henrietta-line-cooks/7841718128.html
Regional Class A Drivers,,compensation:,contract,3111 S Winton Rd,2025-04-11T18:15:26-0400,"Are you making $2500 per week or more and home some week nights and on weekends? We are growing again and need to add a few drivers our spots are limited and we are only looking for the best drivers. Running mainly PA, VA, MD, DE, NJ, OH, GA, NC, SC, MA, CT, RI, VT, NH, ME. Hauling dry and temp controlled shipments. All equipment is assigned and well maintained. Pay is 25% of gross paid holidays, 2 weeks paid vacation, paid medical after 90 days. If interested please call 585-303-2950",,7841731842, | 585-303-2950,https://rochester.craigslist.org/trp/d/rochester-regional-class-drivers/7841731842.html
Local Class A Drivers Needed,,compensation:,contract,3111 S Winton Rd,2025-04-11T18:16:43-0400,"Currently Hiring Class A drivers for local Days & Nights running mainly New York and some parts of Pennsylvania .  Hauling Dry Van, Reefer or Flatbed. This is a full time year round position. Will also have positions available for part time and weekend.  Must have at least 1 year driving class A vehicles. Call 585-303-2950",,7841732189, | 585-303-2950,https://rochester.craigslist.org/trp/d/rochester-local-class-drivers-needed/7841732189.html
Heavy Duty Truck & Trailer Mechanic,,"{""@type"":""JobPosting"",""hiringOrganization"":{""name"":""Nordic Logistics, LLC."",""@type"":""Organization""},""jobLocation"":{""@type"":""Place"",""address"":{""addressRegion"":""NY"",""@type"":""PostalAddress"",""addressLocality"":""Rochester"",""streetAddress"":""3111 S Winton Rd"",""postalCode"":""14623"",""addressCountry"":""US""},""geo"":{""latitude"":""43.083400"",""@type"":""GeoCoordinates"",""longitude"":""-77.634400""}},""title"":""Heavy Duty Truck Trailer Mechanic"",""datePosted"":""2025-04-11T22:18:54+0000"",""employmentType"":""FULL_TIME"",""@context"":""http://schema.org"",""description"":""Nordic Truck And Trailer is currently looking for a truck and trailer mechanic to work on class 8 tractors and trailers. Must have experience working on trucks and trailers must have own tools, we provide plenty of support tools and equipment. Starting pay is $30-$40 per hour based on experience. 2 weeks paid vacation paid holidays and paid medical after 90 days. Start immediately limited position looking for the right guy that’s looking to retire from company not looking for job hoppers.<br>\n"",""validThrough"":""2025-05-11""}",contract,3111 S Winton Rd,2025-04-11T18:18:54-0400,"Nordic Truck And Trailer is currently looking for a truck and trailer mechanic to work on class 8 tractors and trailers. Must have experience working on trucks and trailers must have own tools, we provide plenty of support tools and equipment. Starting pay is $30-$40 per hour based on experience. 2 weeks paid vacation paid holidays and paid medical after 90 days. Start immediately limited position looking for the right guy that’s looking to retire from company not looking for job hoppers.",,7841732705,,https://rochester.craigslist.org/trp/d/rochester-heavy-duty-truck-trailer/7841732705.html
Dishwashers,,compensation:,contract,3670 lake rd near 104 and 19,2025-04-11T21:10:16-0400,Full-time/part time,,7841768845,,https://rochester.craigslist.org/fbh/d/clarkson-dishwashers/7841768845.html
Nights Janitor/Cleaner Downtown,,compensation:,contract,Jefferson Road near Winton Road,2025-04-11T21:13:42-0400,West Main st. Downtown Rochester: General office cleaning. Monday through Friday start at 5:00 p.m. 13 hrs. per. week. $16.75 per hr. Some experience necessary. This is on a bus line. We do not pay under the table.,,7841769380,,https://rochester.craigslist.org/lab/d/rochester-nights-janitor-cleaner/7841769380.html
Class C Delivery Driver- Rochester- PART TIME- $32/hr,,compensation:,contract,,2025-04-11T23:00:08-0400,,,7841783759,,https://rochester.craigslist.org/trp/d/rochester-class-delivery-driver/7841783759.html
Winfield Grill Hiring - Line Cook,,"{""jobLocation"":{""@type"":""Place"",""address"":{""@type"":""PostalAddress"",""postalCode"":""14609"",""addressLocality"":""Rochester"",""addressRegion"":""NY"",""streetAddress"":"""",""addressCountry"":""US""},""geo"":{""longitude"":""-77.563700"",""@type"":""GeoCoordinates"",""latitude"":""43.174000""}},""hiringOrganization"":{""@type"":""Organization"",""name"":""The Winfield Grill""},""description"":""Busy restaurant looking to hire a line cook. This is a full time position.<br>\n<br>\nExperience is always a plus and pay is competitive<br>\n <br>\nTraining and opportunities for advancement available!<br>\n<br>\nOpen Tuesday through Saturday, so you'll have 2 consecutive days off.<br>\n<br>\nAttach your resume with a valid contact number<br>\n<br>\nOr stop by before 11am or after 3pm please<br>\n<br>\nWe are a family oriented restaurant, and we hope you'll join our family!<br>\n"",""@type"":""JobPosting"",""employmentType"":""FULL_TIME"",""validThrough"":""2025-05-12"",""title"":""Line Cook"",""@context"":""http://schema.org"",""datePosted"":""2025-04-12T12:30:33+0000""}",contract,,2025-04-12T08:30:33-0400,"Busy restaurant looking to hire a line cook. This is a full time position. Experience is always a plus and pay is competitive Training and opportunities for advancement available! Open Tuesday through Saturday, so you'll have 2 consecutive days off. Attach your resume with a valid contact number Or stop by before 11am or after 3pm please We are a family oriented restaurant, and we hope you'll join our family!",,7841821054,,https://rochester.craigslist.org/fbh/d/rochester-winfield-grill-hiring-line/7841821054.html
HIRING COOKS/LINE COOKS for FAMILY RESTAURANT,,compensation:,contract,Buffalo road,2025-04-12T10:35:48-0400,"Looking to hire cooks for high volume diner/restaurant mainly evening shifts tuesday, Wednesday, Thursday, Friday and saturday With Possible days during the week and weekends as well. Pay negotiable. Competitive salary MUST have experience working in a diner/family restaurant setting for over 2 years Do Not apply if you have not worked in high volume.  Hours and days negotiable based on experience",,7841845953,,https://rochester.craigslist.org/fbh/d/rochester-hiring-cooks-line-cooks-for/7841845953.html
70 CPM! $2000 Top Weeks! $1K Bonus! Recruiters Available Today!,,compensation:,contract,,2025-04-12T12:00:54-0400,,,7841869155,,https://rochester.craigslist.org/trp/d/rochester-70-cpm-2000-top-weeks-1k/7841869155.html
Concrete Finisher wanted,,compensation:,contract,,2025-04-12T16:34:33-0400,"Looking for a skilled mason to work on residential and commercial projects. 40 hours a week minimum, all tools provided, other benefits offered after a seasoning period. (Cell phone, gas, possible retirement savings match)",,7841953685,,https://rochester.craigslist.org/trd/d/brockport-concrete-finisher-wanted/7841953685.html
Bob’s Diner host/Hostess,,compensation:,contract,2199 East Henrietta rd,2025-04-12T16:55:17-0400,"Bob’s Diner is looking for a host/hostess for a fast paced family diner. Duties include seating and cashing out customers, bussing tables, answering phone and taking takeout orders. Pay is minimum wage plus any takeout tips. Please fill out an application in person 2199 East Henrietta rd 8am-2pm daily No phone calls",,7841959257,,https://rochester.craigslist.org/fbh/d/rochester-bobs-diner-host-hostess/7841959257.html
Window and door installer /helper,,compensation:,contract,,2025-04-12T19:17:56-0400,Local construction company looking for skilled window and door installer and installation helper. Must have own transportation and basic hand tools. Experience preferred but will train the right person.,,7841991662,,https://rochester.craigslist.org/trd/d/rochester-window-and-door-installer/7841991662.html
mover/part time,,compensation:,contract,,2025-04-13T12:33:02-0400,Part-time mover $19 hr plus tips. Help load truck. Heavy lifting. Start location will be in Pittsford area. Need reliable transportation. Please text a brief employment history to 716-432-0354 .,,7842103943, | 716-432-0354,https://rochester.craigslist.org/lab/d/east-rochester-mover-part-time/7842103943.html
Caregiver needed. AM & PM,,compensation:,contract,,2025-04-13T15:54:55-0400,Need. caregiver for 93 year old father. Mind is great and sharp as a tac. Very easy going. needs assitance in the am coming down stairs and evening going up stairs. light supervision. Good job for extra cash. call with details and rate.,,7842154749,,https://rochester.craigslist.org/hea/d/batavia-caregiver-needed-am-pm/7842154749.html
VOLUNTEERS NEEDED at Mockingbird Farm Sanctuary,,compensation:,contract,5978 Upper Holley Rd,2025-04-13T17:12:26-0400,"We are expanding our team of volunteers! Our mission at Mockingbird Farm Sanctuary is to provide lifetime sanctuary to farmed animals with donations solely benefiting direct animal care. We believe in treating all beings with compassion and respect, and we strive to promote a cruelty-free lifestyle. We have daily, monthly, and special event volunteer opportunities that are always available. Anyone is welcome and encouraged to apply. Mockingbird Farm Sanctuary has been a place of refuge for farm animals since its inception in 2015. Our journey is fueled by the desire to create a world where every animal is valued and protected. We rescue abused, surrendered and/or neglected farmed animals and provide community resources for living a compassionate lifestyle. No prior farm experience is required, but any animal caretaking knowledge and farm related skills are helpful. All volunteers are trained and provided with any support needed. Please email us for more information. The following questions help us find the best schedule and placement at the sanctuary. Have you ever volunteered at an animal sanctuary before? Do you have large animal experience? What is your availability for volunteering? Do you have reliable transportation? How did you find Mockingbird and why would you like to volunteer? ​ EIN: 821517678 - Established in 2015  - 501(c)3 granted in 2017 Thank you!",,7842172950,,https://rochester.craigslist.org/npo/d/byron-volunteers-needed-at-mockingbird/7842172950.html
Bartender,,compensation:,contract,109 East Avenue near Gibbs St.,2025-04-13T20:03:58-0400,Temple Bar & Grille is looking for strong & knowledgeable bartender with open availability for nights and weekends. Include resume when responding to this post.,,7842206182,,https://rochester.craigslist.org/fbh/d/rochester-bartender/7842206182.html
Better Than Free - PAID CDL TRAINING!!,,compensation:,contract,,2025-04-13T20:28:02-0400,"We'll pay you while you get your CDL. If you qualify for our program, training to obtain your CDL is part of your job. Once you have your CDL, you'll continue getting paid on the job training with a Driver Trainer (about 3 weeks). After you have your CDL, you'll continue your on-the-job training as a long-haul professional truck driver. From there, Roehl drivers are making $70,000 or more a year. Here's an overview of the Get Your CDL Program: You'll be paid as you get your CDL in our three-week CDL training program. Training is available in multiple locations. You are hired and paid as an employee on day 1. If you were to go to a CDL school, you would not get paid while you are training AND you'd have to come up with the tuition for the school. We're a stable company that provides full benefits - we invest in you. Get Started on Roehl.Jobs If you contact Roehl by email, please include your first name, last name, email address, phone number, zip code and if you already have Class A CDL in your message so we can connect with you. You can also provide this information on our website. You can also call us at 715-591 7050, option 8, then option 2. Keyword search: Driving, transportation, drivers, cdla, cdl-a, class a, truckers, job, truck driver jobs, driving jobs near me, local truck driving jobs, best companies to drive for, salary, paid truck driver job, truck driving school, commercial learning permit, CDL training schedule, student truck driver jobs, paid CDL-A truck driver training, paid training Benefits: Health Insurance, Dental Insurance, Long-Term Disability (LTD), Life Insurance: Basic & Supplemental, Short-Term Income Protection, Flexible Spending Accounts (FSAs), 401(k) & Profit-sharing Contributions, Vacation, Holidays, Voluntary Benefits. See more about Roehl Transport's benefits by visiting",,7842211027, | 715-591 7050,https://rochester.craigslist.org/trp/d/rochester-better-than-free-paid-cdl/7842211027.html
1099 Residential Door Estimator,,compensation:,contract,,2025-04-13T22:00:29-0400,"Job Title: 1099 Residential Door Estimator Location: Rochester, NY Employment Type: Independent Contractor (1099) Company Overview: We are a growing home improvement and construction services provider specializing in residential door sales and installations throughout the general Rochester, NY area. Known for our attention to detail, and excellent customer service, we are looking for an experienced Residential Door Estimator to join our team on a contract basis. Position Summary: We are seeking a detail-oriented and knowledgeable estimator to assess residential properties, take accurate measurements, and provide the appropriate details for replacements and installations. This is a 1099 contractor position with flexible scheduling and competitive compensation. Responsibilities: Travel to residential sites within the Rochester surrounding area to assess door replacement or installation needs Measure and evaluate openings to determine correct door sizes and materials Prepare detailed and accurate project estimates, including addition materials needed Collaborate with sales and installation teams to ensure accurate project scope as needed Communicate professionally with homeowners to explain processes and answer questions Maintain thorough documentation and follow-up as needed Qualifications: Proven experience in residential door estimating, installations, carpentry, or related field Strong understanding of door types, materials, hardware, and installation practices Ability to accurately measure and assess job sites Excellent communication and customer service skills Self-motivated, organized, and dependable Valid driver’s license, auto insurance, and reliable transportation Ability to pass a background check Compensation: Competitive pay (rate based on experience) Flexible hours and autonomy in schedule To Apply: Please submit your resume and a brief introduction outlining your experience with residential door estimating. Include your availability and contact information.",senior,7842224168,,https://rochester.craigslist.org/trd/d/rochester-1099-residential-door/7842224168.html
Skilled Trades Mentorship Program,,compensation:,contract,,2025-04-14T07:31:46-0400,"Do you have base level experience in remodeling but want a CAREER as a skilled trades expert? The Pink Rose Mentorship is exactly what you are looking for! Our Service Experts have top level experience in the industry, and they want to train you! That’s right! Hands on, one on one, in-field experience with a professional! You won’t get forgotten about on a crew. You aren’t paying to go to school, we are paying you to train! And if you “graduate” you’ll become one of our Service Experts. They make $60,000 -$100,000 a year! Our top earner in 2024 was $93,378 We focus on residential home improvement. Small, one-person jobs involved in the skilled trades. Plumbing Electrical Carpentry Drywall Painting Carpentry (Framing and Trim) Windows/Doors Flooring Tile (flooring and backsplashes) “Handyman” Projects Requirements: -some basic background or experience with remodeling/ skilled trades work. -Valid & clean NYS driver’s license -Reliable transportation -Be able to lift 50 IBS -High school graduate or have GED Benefits include: ·	Company Phone ·	Company uniform including shirts, pants, hats, sweatshirts and windbreaker ·	Weekends off ·	No overnight travel ·	8 paid holidays including your birthday ·	Paid sick time ·	401k matching after 6 months ·	Referral bonus: $1,000 bonus if we hire a service expert you refer. Pay is $15 per hour to start. You can also apply by going to our website, pink-rose.com/now-hiring Thank you for your time.",,7842260362,,https://rochester.craigslist.org/trd/d/rochester-skilled-trades-mentorship/7842260362.html
Quit Your Job and Start your CAREER. Skilled Handyman. $5000 Sign-On!!,,compensation:,contract,,2025-04-14T07:32:20-0400,"Highly established & rated company in Rochester NY, looking to hire YOU. And right now we are offering a $5,000 sign-on bonus!! Earning Potential $60,000 - $100,000 per year. You will be paid based on performance. Top Earner in 2024: $93,378 We offer: ·	Company van with a gas card ·	Can drive van home if you live within a 35/mile radius of the office. ·	Company Phone ·	Company uniform including shirts, pants, hats, sweatshirts and windbreaker ·	Weekends off (overtime is available but NEVER forced) ·	No overnight travel ·	8 paid holidays including your birthday ·	Paid sick time ·	Weekly and monthly bonus potential ·	Paid training to learn our system and policies ·	Tool allowance ·	Lots of office support ·	Company equipment can be borrowed. (ext. ladders, brake, power-washer, scaffolding) Plus: ·	Paid time off starting in the new calendar year ·	401k matching after 6 months ·	Company credit card after first month ·	Referral bonus: $1,000 bonus if we hire someone you refer. ·	Hundreds of appointments and jobs throughout the year ·	Use your full skill set!! Not doing the same thing every single day! We complete smaller interior home improvement projects & repairs focused on the skilled trades. Plumbing		Electrical		Drywall/Painting		Carpentry Windows/Doors	Tile			Flooring Some jobs may be small (ex. changing a faucet, installing a ceiling fan, patching a drywall hole.) Other jobs may be more involved or a punch list of different tasks to be completed. You will be dispatched to individual appointments, provide a quote for the work and complete each job sold. (Paid training provided to understand our pricing!) The office handles all the scheduling and back-office support that way you can focus on what you’re good at; helping homeowners and using your craft. NO whole house jobs. NO new construction or new builds NO major projects: Decks, sunrooms, complete kitchen remodels, complete bathroom remodels, additions, roof tear offs. NO Crews. You will work by yourself on your own jobs! Requirements: ·	You need to have professional experience, 5 years minimum in most the skilled trades. ·	Your own tools (basic hand tools, power tools.) ·	Ability to have customer interaction. ·	CLEAN and VALID New York State Driver’s License. ·	NOT a position for beginners, DIY’ers, or Apprentices. (We do have a mentorship program) ·	Full-time, year-round requirement (40 hours/week, weekends off) ·	NO subcontractors. ·	No under the table pay. ·	NO Riff Raff. Clean company = clean techs ·	You must be smart and be able to problem solve and critically think through certain jobs. We can’t wait to talk further with you. Respond with your phone # and brief work history or resume. Check out our website to learn more about us:	Pink-Rose.com",,7842260397,,https://rochester.craigslist.org/trd/d/rochester-quit-your-job-and-start-your/7842260397.html
Bathroom Installer. $5000 Sign-On Bonus!!,,compensation:,contract,,2025-04-14T07:32:42-0400,"Highly established & rated company looking to hire YOU. And right now, we have a $5000 sign-on bonus!! Earning Potential $60,000 - $80,000per year. You will be paid based on performance. We offer: ·	Company van with a gas card ·	Can drive van home if you live with 35/mile radius of the office. ·	Company Phone ·	Company uniform including shirts, pants, hats, sweatshirts and windbreaker ·	Weekends off ·	No overnight travel ·	8 paid holidays including your birthday ·	Paid sick time ·	Weekly and monthly bonus potential ·	Paid training to learn our system and policies ·	Tool allowance ·	Lots of office support ·	Company equipment can be borrowed. (ext. ladders, brake, power-washer, scaffolding) Plus: ·	Paid time off starting in the new calendar year ·	401k matching after 6 months ·	Company credit card after first month ·	Referral bonus: $1,000 bonus if we hire someone you refer. ·	Scheduling is all taken care of by the office. We only remodel existing bathrooms. No closet to bathroom conversions, no jobs involved with moving the plumbing locations. Jobs include demo existing fixtures and tub/shower, installing a new tub/shower pan & surround, installing a new floor, painting, installing a vanity and toilet, installing new trim, installing a new vent fan & vanity light fixture and more.  We do a lot of tile surrounds and floors. These jobs are one person jobs. A helper is available on occasions. The office handles all the scheduling and back-office support that way you can focus on what you’re good at; helping homeowners and using your craft. Requirements: You need to have professional experience, 5 years minimum in most the skilled trades. You need to be proficient with plumbing and the tub/shower installations.  We install either a fiberglass, glue up or tile surround and you need to be experienced with all types. Plumbing		Electrical		Drywall/Painting		Carpentry Windows/Doors	Tile			Flooring ·	Your own tools (everything to be able to remodel a bathroom.) ·	CLEAN and VALID New York State Driver’s License. ·	NOT a position for beginners, DIY’ers, or Apprentices. (We do have a mentorship program) ·	Full-time, year-round requirement (40 hours/week, weekends off) ·	NO subcontractors. ·	No under the table pay. ·	NO Riff Raff. Clean company = clean installers ·	You must be smart and be able to problem solve and critically think through certain jobs We can’t wait to talk further with you. Respond with your phone # and brief work history or resume. Check out our website to learn more about us:	Pink-Rose.com",senior,7842260434,,https://rochester.craigslist.org/trd/d/rochester-bathroom-installer-5000-sign/7842260434.html
Janitor / Cleaning,,compensation:,contract,,2025-04-14T08:43:59-0400,Janitor / Cleaning FULL - TIME DAY Position Warehouse Cleaning Monday thru Friday 6:00am - 2:30pm $17.00/Hr. Call 716-854-0841 for more information and to place your name on the Interview List.,,7842268719, | 716-854-0841,https://rochester.craigslist.org/lab/d/henrietta-janitor-cleaning/7842268719.html
"Class A and B CDL Drivers Wanted Local Delivery Albion, NY",,compensation:,contract,3854 Taylor Hill Rd,2025-04-14T09:41:55-0400,"Job Overview: Growmark FS, LLC located in Albion, NY is seeking Class A and Class B qualified drivers immediately to join our team! Most trucking occurs within 50 mile radius of Albion, NY meaning home every night. Applicant must have clean license. Full time and part time positions available. We offer a benefit package for full time employees including medical, vacation, life insurance, and 401k company match! Pay range is negotiable based on position and experience. Please email your resume or apply in person. Our office is located at 3854 Taylor Hill Rd Albion, NY 14411. You can also check out and apply through our website at . Contact us TODAY! Principals only. Recruiters, please don't contact this job poster.",,7842279843,,https://rochester.craigslist.org/trp/d/knowlesville-class-and-cdl-drivers/7842279843.html
Construction site superintendent,,compensation:,contract,,2025-04-14T09:46:45-0400,"Seeking experienced construction superintendent for commercial general contractor. Must be able to supervise multiple onsite subcontractors daily. Someone who has an understanding of construction and is able to read construction drawings/plans. Some basic computer skills for reporting daily logs. Strong communication and organization skills necessary. Ability to professionally handle 3rd party inspections and code enforcement officers. Capable of some physical work. Must be able to follow a provided project schedule, keeping job on track/target. Must have reliable transportation and valid drivers' license. Salary based on experience and capabilities.",senior,7842280952,,https://rochester.craigslist.org/trd/d/ontario-center-construction-site/7842280952.html
Cook,,compensation:,contract,,2025-04-14T10:33:18-0400,Full time position for experienced cook for a busy restaurant- must have own transportation-available nights and weekends- please include a resume- pay rate based on experience-,senior,7842292920,,https://rochester.craigslist.org/fbh/d/rochester-cook/7842292920.html
Line Cook at Neighborhood Bar,,compensation:,contract,,2025-04-14T10:48:02-0400,"Our well-regarded, small, and local establishment is seeking a reliable Line Cook to join our team. We value professionalism, dependability, and a strong work ethic. Previous experience working solo in a high-paced kitchen environment is preferred. Requirements: -Experience working in a full-service kitchen. -Demonstrated ability to work in a fast-paced kitchen. -Consistent attendance and adherence to scheduled shifts. -Must be ServeSafe certified or willing to obtain certification within 30 days of hire. -Commitment to maintaining high food safety and hygiene standards and a clean work environment. -Must have access to reliable transportation. -Friendly guest communication. Benefits: -A supportive work environment with a small, friendly team and reasonable management. -Streamlined menu and kitchen setup. -Up to 40 hours per week with additional opportunities to earn more. -Opportunity to earn tips in addition to hourly wage! How to Apply: -Please respond with your resume and a brief description of your experience. We are looking for someone who is dedicated and reliable—a perfect fit for our kitchen team.",,7842296824,,https://rochester.craigslist.org/fbh/d/rochester-line-cook-at-neighborhood-bar/7842296824.html
Boat / PWC Mechanic,s,compensation:,contract,1070 Empire Blvd,2025-04-14T10:50:26-0400,"McMillan Marine is looking for experienced Boat and PWC mechanics as well as new unit prep technicians in the marine field. *Top pay, Health Care, 401K per qualification *Experience with inboard/outboard, outboard, jet drive, and PWC helpful. *Experience in the Yamaha Motorsports industry or jet drive industry helpful *Yamaha Outboard, Yamaha Jet Drive, Mercruiser, Volvo Dealer *Certified mechanics a plus but all others considered. *Must be dependable and customer conscious. *Very large and clean shop environment. *On water location. *All levels of experience will be considered for various positions *Job Types: Full-time, Part-time",senior,7842297484,,https://rochester.craigslist.org/lab/d/rochester-boat-pwc-mechanics-wanted/7842297484.html
**ATTENTION PICKUP OWNERS** Be Your Own Boss,,compensation:,contract,,2025-04-14T11:57:30-0400,"Requirements: You must have access to a Pickup Truck with enough space to transport tanks to customers. Responsibilities: Pickup full tanks from local gas retailers to exchange them to our clients empty tanks. FAQ: What kind of deliveries will I be transporting? 20 Lbs - 30 Lbs - 100 Lbs Tanks What kind of GAS is in the tanks? Oxigen, CO2, Propane, He, Nitrogen Approved Driver FLASH-Box Includes: Polo Shirt FLAS GAS Vehicle Gadget Everyone must apply mandatory via or call now 888-FLASH-15 Option 2",,7842318418,,https://rochester.craigslist.org/lab/d/rochester-attention-pickup-owners-be/7842318418.html
Home Improvement Sales Position – Seeking MASTER Closers,,compensation:,contract,,2025-04-14T12:10:58-0400,"Home Improvement Sales Position – Seeking MASTER Closers $85,000 - $150,000 (Base + Commissions) Long established company seeking motivated “In-Home” representatives. Salary Positions & Commission Only Positions Available. Requirements: -Excellent communicator -“One Call” Closing ability -Construction + Home Improvement knowledge is a plus, not required -Previous home improvement sales is a plus, not required -Financial/consumer lending understanding is a plus, not required. -Technology knowledge. Email, text, pictures, applications, etc. Inclusions: -Paid Training & Expenses -Flexible Hours -Qualified Leads -Set, Vetted, and Confirmed Leads -Bonus Opportunity -Vertical Career Mobility Available -Major Earning Potential -Representatives sell Well-Known Product Lines -No Cold Calling -Retirement Plans Please email this post to discuss the interview process:: OR Visit/apply at our website --- homeownerfunding.org",,7842323473,,https://rochester.craigslist.org/sls/d/rochester-home-improvement-sales/7842323473.html
"☂️ IMMEDIATE OPENINGS: Nanny, Babysitter, Caregivers - Flexible Hours",,compensation:,contract,,2025-04-14T12:40:39-0400,<,,7842334445,,https://rochester.craigslist.org/edu/d/rochester-immediate-openings-nanny/7842334445.html
In-Home Health aid positions available,,compensation:,contract,Field Street near S. Clinton Avenue,2025-04-14T12:45:58-0400,"We are looking to hire a home health aid to take care of my elderly mother.  She is wheelchair bound with dementia.  She can stand and pivot with assistance.  Duties include companionship, light house cleaning, meal prep, dressing assitance, bathing, transferring to bed/toilet/chair and driving her to appointments or the store.  Taking care of feeding cat and cat litter.  Most of her days are watching TV and reading the paper. She presents challenges with refusing to take meds, and changing her sanitary pants, so some one with patience would be required. Pay is through the CDPAP program which pays $18/hr with some benefits. Hours available are Sunday 3pm-9pm, and M-F 1pm - 9pm",,7842336462,,https://rochester.craigslist.org/hea/d/rochester-in-home-health-aid-positions/7842336462.html
In-Home Health aid positions available,,compensation:,contract,Field Street near S. Clinton Avenue,2025-04-14T12:45:58-0400,"We are looking to hire a home health aid to take care of my elderly mother.  She is wheelchair bound with dementia.  She can stand and pivot with assistance.  Duties include companionship, light house cleaning, meal prep, dressing assitance, bathing, transferring to bed/toilet/chair and driving her to appointments or the store.  Taking care of feeding cat and cat litter.  Most of her days are watching TV and reading the paper. She presents challenges with refusing to take meds, and changing her sanitary pants, so some one with patience would be required. Pay is through the CDPAP program which pays $18/hr with some benefits. Hours available are Sunday 3pm-9pm,",,7842336460,,https://rochester.craigslist.org/lab/d/rochester-in-home-health-aid-positions/7842336460.html
